#x         lngamma(x)
-4.050            NaN
-3.950         -0.103
-3.850         -1.020
-3.750         -1.317
-3.650         -1.405
-3.550         -1.366
-3.450         -1.227
-3.350         -0.988
-3.250         -0.623
-3.150         -0.049
-3.050          1.145
-2.950            NaN
-2.850            NaN
-2.750            NaN
-2.650            NaN
-2.550            NaN
-2.450            NaN
-2.350            NaN
-2.250            NaN
-2.150            NaN
-2.050            NaN
-1.950          2.352
-1.850          1.375
-1.750          1.016
-1.650          0.865
-1.550          0.837
-1.450          0.907
-1.350          1.075
-1.250          1.366
-1.150          1.864
-1.050          2.978
-0.950            NaN
-0.850            NaN
-0.750            NaN
-0.650            NaN
-0.550            NaN
-0.450            NaN
-0.350            NaN
-0.250            NaN
-0.150            NaN
-0.050            NaN
0.050           2.969
0.150           1.828
0.250           1.288
0.350           0.935
0.450           0.677
0.550           0.480
0.650           0.326
0.750           0.203
0.850           0.107
0.950           0.031
1.050          -0.027
1.150          -0.069
1.250          -0.098
1.350          -0.115
1.450          -0.121
1.550          -0.118
1.650          -0.105
1.750          -0.084
1.850          -0.056
1.950          -0.020
2.050           0.022
2.150           0.070
2.250           0.125
2.350           0.185
2.450           0.250
2.550           0.320
2.650           0.396
2.750           0.475
2.850           0.559
2.950           0.648
3.050           0.740
3.150           0.836
3.250           0.936
3.350           1.039
3.450           1.146
3.550           1.257
3.650           1.370
3.750           1.487
3.850           1.607
3.950           1.729
