#x             erf(x)
-4.000         -1.000
-3.900         -1.000
-3.800         -1.000
-3.700         -1.000
-3.600         -1.000
-3.500         -1.000
-3.400         -1.000
-3.300         -1.000
-3.200         -1.000
-3.100         -1.000
-3.000         -1.000
-2.900         -1.000
-2.800         -1.000
-2.700         -1.000
-2.600         -1.000
-2.500         -1.000
-2.400         -0.999
-2.300         -0.999
-2.200         -0.998
-2.100         -0.997
-2.000         -0.995
-1.900         -0.993
-1.800         -0.989
-1.700         -0.984
-1.600         -0.976
-1.500         -0.966
-1.400         -0.952
-1.300         -0.934
-1.200         -0.910
-1.100         -0.880
-1.000         -0.843
-0.900         -0.797
-0.800         -0.742
-0.700         -0.678
-0.600         -0.604
-0.500         -0.521
-0.400         -0.428
-0.300         -0.329
-0.200         -0.223
-0.100         -0.112
0.000           0.000
0.100           0.112
0.200           0.223
0.300           0.329
0.400           0.428
0.500           0.521
0.600           0.604
0.700           0.678
0.800           0.742
0.900           0.797
1.000           0.843
1.100           0.880
1.200           0.910
1.300           0.934
1.400           0.952
1.500           0.966
1.600           0.976
1.700           0.984
1.800           0.989
1.900           0.993
2.000           0.995
2.100           0.997
2.200           0.998
2.300           0.999
2.400           0.999
2.500           1.000
2.600           1.000
2.700           1.000
2.800           1.000
2.900           1.000
3.000           1.000
3.100           1.000
3.200           1.000
3.300           1.000
3.400           1.000
3.500           1.000
3.600           1.000
3.700           1.000
3.800           1.000
3.900           1.000
