#x           gamma(x)
-4.050         -0.776
-3.950          0.902
-3.850          0.361
-3.750          0.268
-3.650          0.245
-3.550          0.255
-3.450          0.293
-3.350          0.372
-3.250          0.536
-3.150          0.952
-3.050          3.142
-2.950         -3.563
-2.850         -1.388
-2.750         -1.004
-2.650         -0.896
-2.550         -0.905
-2.450         -1.011
-2.350         -1.247
-2.250         -1.743
-2.150         -3.000
-2.050         -9.584
-1.950         10.510
-1.850          3.956
-1.750          2.762
-1.650          2.374
-1.550          2.309
-1.450          2.477
-1.350          2.931
-1.250          3.921
-1.150          6.449
-1.050         19.647
-0.950        -20.495
-0.850         -7.318
-0.750         -4.834
-0.650         -3.917
-0.550         -3.578
-0.450         -3.591
-0.350         -3.957
-0.250         -4.902
-0.150         -7.417
-0.050        -20.629
0.050          19.470
0.150           6.220
0.250           3.626
0.350           2.546
0.450           1.968
0.550           1.616
0.650           1.385
0.750           1.225
0.850           1.112
0.950           1.031
1.050           0.974
1.150           0.933
1.250           0.906
1.350           0.891
1.450           0.886
1.550           0.889
1.650           0.900
1.750           0.919
1.850           0.946
1.950           0.980
2.050           1.022
2.150           1.073
2.250           1.133
2.350           1.203
2.450           1.284
2.550           1.378
2.650           1.485
2.750           1.608
2.850           1.749
2.950           1.911
3.050           2.095
3.150           2.307
3.250           2.549
3.350           2.827
3.450           3.146
3.550           3.513
3.650           3.936
3.750           4.423
3.850           4.986
3.950           5.637
