# x        y          integral   sin(x)     integral  , exactint  
0.000      0.000      0.000      0.000      0.000      0.000     
0.250      0.500      0.063      0.210      0.026      0.031     
0.500      1.000      0.250      0.421      0.105      0.122     
0.750      1.500      0.563      0.631      0.237      0.268     
1.000      2.000      1.000      0.841      0.421      0.460     
1.250      2.500      1.563      0.858      0.633      0.685     
1.500      3.000      2.250      0.875      0.850      0.929     
1.750      3.500      3.063      0.892      1.071      1.178     
2.000      4.000      4.000      0.909      1.296      1.416     
2.250      4.500      5.063      0.717      1.499      1.628     
2.500      5.000      6.250      0.525      1.655      1.801     
2.750      5.500      7.563      0.333      1.762      1.924     
