# x        y          integral   different  sin(x)     integral   different  exactint   exactdiff 
0.000      0.000      0.000      2.000      0.000      0.000      0.841      0.000      1.000     
0.250      0.500      0.063      2.000      0.210      0.026      0.841      0.031      0.969     
0.500      1.000      0.250      2.000      0.421      0.105      0.841      0.122      0.878     
0.750      1.500      0.563      2.000      0.631      0.237      0.841      0.268      0.732     
1.000      2.000      1.000      1.000      0.841      0.421      1.257      0.460      0.540     
1.250      2.313      2.099      1.500      1.081      0.901      0.662      0.685      0.315     
1.500      2.750      3.417      2.000      1.173      1.475      0.068      0.929      0.071     
1.750      3.313      4.984      2.500      1.115      2.106      -0.527     1.178      -0.178    
2.000      4.000      6.833      3.000      0.909      2.756      -1.121     1.416      -0.416    
2.250      4.688      10.083     2.500      0.651      3.584      -0.945     1.628      -0.628    
2.500      5.250      13.833     2.000      0.437      4.297      -0.768     1.801      -0.801    
2.750      5.688      18.083     1.500      0.267      4.871      -0.592     1.924      -0.924    
