# DATA
# x      y       
0.000    0.000   
0.628    0.588   
1.257    0.951   
1.885    0.951   
2.513    0.588   
3.142    0.000   
3.770    -0.588  
4.398    -0.951  
5.027    -0.951  
5.655    -0.588  


# LINEAR
# x      sin(x)   int      expint  
0.000    0.000    -1.000   -1.000  
0.157    0.147    -0.988   -0.988  
0.314    0.294    -0.954   -0.951  
0.471    0.441    -0.896   -0.891  
0.628    0.588    -0.815   -0.809  
0.785    0.679    -0.716   -0.707  
0.942    0.769    -0.602   -0.588  
1.100    0.860    -0.474   -0.454  
1.257    0.951    -0.332   -0.309  
1.414    0.951    -0.183   -0.156  
1.571    0.951    -0.033   0.000   
1.728    0.951    0.116    0.156   
1.885    0.951    0.266    0.309   
2.042    0.860    0.408    0.454   
2.199    0.769    0.536    0.588   
2.356    0.679    0.650    0.707   
2.513    0.588    0.749    0.809   
2.670    0.441    0.830    0.891   
2.827    0.294    0.888    0.951   
2.985    0.147    0.922    0.988   
3.142    0.000    0.934    1.000   
3.299    -0.147   0.922    0.988   
3.456    -0.294   0.888    0.951   
3.613    -0.441   0.830    0.891   
3.770    -0.588   0.749    0.809   
3.927    -0.679   0.650    0.707   
4.084    -0.769   0.536    0.588   
4.241    -0.860   0.408    0.454   
4.398    -0.951   0.266    0.309   
4.555    -0.951   0.116    0.156   
4.712    -0.951   -0.033   0.000   
4.869    -0.951   -0.183   -0.156  
5.027    -0.951   -0.332   -0.309  
5.184    -0.860   -0.474   -0.454  
5.341    -0.769   -0.602   -0.588  
5.498    -0.679   -0.716   -0.707  


# QUADRATIC
# x      sin(x)   int      expint   diff     expdiff 
0.000    0.000    -1.000   -1.000   0.935    1.000   
0.157    0.147    -0.988   -0.988   0.935    0.988   
0.314    0.294    -0.954   -0.951   0.935    0.951   
0.471    0.441    -0.896   -0.891   0.935    0.891   
0.628    0.588    -0.815   -0.809   0.468    0.809   
0.785    0.664    -0.717   -0.707   0.502    0.707   
0.942    0.746    -0.606   -0.588   0.537    0.588   
1.100    0.833    -0.483   -0.454   0.572    0.454   
1.257    0.951    -0.345   -0.309   0.689    0.309   
1.414    1.042    -0.188   -0.156   0.472    0.156   
1.571    1.099    -0.019   0.000    0.256    0.000   
1.728    1.123    0.156    0.156    0.040    -0.156  
1.885    0.951    0.332    0.309    -0.689   -0.309  
2.042    0.846    0.473    0.454    -0.654   -0.454  
2.199    0.746    0.598    0.588    -0.619   -0.588  
2.356    0.651    0.708    0.707    -0.585   -0.707  
2.513    0.588    0.803    0.809    -0.468   -0.809  
2.670    0.503    0.889    0.891    -0.615   -0.891  
2.827    0.395    0.960    0.951    -0.762   -0.951  
2.985    0.263    1.011    0.988    -0.909   -0.988  
3.142    0.000    1.041    1.000    -1.403   -1.000  
3.299    -0.209   1.024    0.988    -1.256   -0.988  
3.456    -0.395   0.977    0.951    -1.109   -0.951  
3.613    -0.557   0.902    0.891    -0.962   -0.891  
3.770    -0.588   0.803    0.809    -0.468   -0.809  
3.927    -0.664   0.705    0.707    -0.502   -0.707  
4.084    -0.746   0.594    0.588    -0.537   -0.588  
4.241    -0.833   0.470    0.454    -0.572   -0.454  
4.398    -0.951   0.332    0.309    -0.689   -0.309  
4.555    -1.042   0.175    0.156    -0.472   -0.156  
4.712    -1.099   0.006    0.000    -0.256   0.000   
4.869    -1.123   -0.169   -0.156   -0.040   0.156   
5.027    -0.951   -0.345   -0.309   0.689    0.309   
5.184    -0.846   -0.486   -0.454   0.654    0.454   
5.341    -0.746   -0.611   -0.588   0.619    0.588   
5.498    -0.651   -0.720   -0.707   0.585    0.707   


# CUBIC
# x      sin(x)   int      expint   diff     expdiff 
0.000    0.000    -1.000   -1.000   0.999    1.000   
0.157    0.156    -0.988   -0.988   0.987    0.988   
0.314    0.309    -0.951   -0.951   0.951    0.951   
0.471    0.454    -0.891   -0.891   0.892    0.891   
0.628    0.588    -0.809   -0.809   0.808    0.809   
0.785    0.707    -0.707   -0.707   0.706    0.707   
0.942    0.809    -0.588   -0.588   0.588    0.588   
1.100    0.891    -0.454   -0.454   0.456    0.454   
1.257    0.951    -0.309   -0.309   0.309    0.309   
1.414    0.987    -0.157   -0.156   0.154    0.156   
1.571    1.000    0.000    0.000    0.000    0.000   
1.728    0.987    0.156    0.156    -0.154   -0.156  
1.885    0.951    0.309    0.309    -0.309   -0.309  
2.042    0.891    0.454    0.454    -0.456   -0.454  
2.199    0.809    0.587    0.588    -0.588   -0.588  
2.356    0.707    0.707    0.707    -0.705   -0.707  
2.513    0.588    0.809    0.809    -0.808   -0.809  
2.670    0.454    0.891    0.891    -0.892   -0.891  
2.827    0.309    0.951    0.951    -0.951   -0.951  
2.985    0.156    0.987    0.988    -0.987   -0.988  
3.142    0.000    1.000    1.000    -1.000   -1.000  
3.299    -0.156   0.987    0.988    -0.988   -0.988  
3.456    -0.309   0.951    0.951    -0.952   -0.951  
3.613    -0.454   0.891    0.891    -0.891   -0.891  
3.770    -0.588   0.808    0.809    -0.806   -0.809  
3.927    -0.706   0.707    0.707    -0.703   -0.707  
4.084    -0.808   0.587    0.588    -0.587   -0.588  
4.241    -0.890   0.454    0.454    -0.458   -0.454  
4.398    -0.951   0.309    0.309    -0.317   -0.309  
4.555    -0.989   0.156    0.156    -0.165   -0.156  
4.712    -1.002   0.000    0.000    -0.005   0.000   
4.869    -0.990   -0.157   -0.156   0.162    0.156   
5.027    -0.951   -0.310   -0.309   0.338    0.309   
5.184    -0.885   -0.455   -0.454   0.496    0.454   
5.341    -0.798   -0.587   -0.588   0.608    0.588   
5.498    -0.696   -0.705   -0.707   0.676    0.707   
