# Evaluating fit with parameters: lambda: -0.171, dlambda: 0.004
# x        y          y_up       y_low     
1.000      119.976    124.047    116.038   
1.140      117.131    121.166    113.231   
1.280      114.354    118.352    110.492   
1.420      111.643    115.604    107.819   
1.560      108.997    112.919    105.211   
1.700      106.413    110.296    102.665   
1.840      103.890    107.735    100.182   
1.980      101.427    105.233    97.758    
2.120      99.022     102.789    95.394    
2.260      96.675     100.402    93.086    
2.400      94.383     98.070     90.834    
2.540      92.145     95.792     88.637    
2.680      89.961     93.568     86.493    
2.820      87.828     91.395     84.400    
2.960      85.746     89.272     82.359    
3.100      83.713     87.199     80.366    
3.240      81.728     85.174     78.422    
3.380      79.791     83.196     76.525    
3.520      77.899     81.263     74.674    
3.660      76.052     79.376     72.867    
3.800      74.249     77.533     71.105    
3.940      72.489     75.732     69.385    
4.080      70.770     73.973     67.706    
4.220      69.093     72.255     66.068    
4.360      67.455     70.577     64.470    
4.500      65.855     68.938     62.911    
4.640      64.294     67.337     61.389    
4.780      62.770     65.773     59.904    
4.920      61.282     64.246     58.455    
5.060      59.829     62.754     57.040    
5.200      58.410     61.296     55.661    
5.340      57.026     59.873     54.314    
5.480      55.674     58.482     53.000    
5.620      54.354     57.124     51.718    
5.760      53.065     55.797     50.467    
5.900      51.807     54.501     49.246    
6.040      50.579     53.236     48.055    
6.180      49.380     51.999     46.892    
6.320      48.209     50.792     45.758    
6.460      47.066     49.612     44.651    
6.600      45.950     48.460     43.571    
6.740      44.861     47.334     42.517    
6.880      43.798     46.235     41.488    
7.020      42.759     45.161     40.485    
7.160      41.746     44.113     39.506    
7.300      40.756     43.088     38.550    
7.440      39.790     42.087     37.617    
7.580      38.846     41.110     36.707    
7.720      37.925     40.155     35.819    
7.860      37.026     39.223     34.953    
8.000      36.148     38.312     34.107    
8.140      35.291     37.422     33.282    
8.280      34.455     36.553     32.477    
8.420      33.638     35.704     31.691    
8.560      32.840     34.875     30.925    
8.700      32.062     34.065     30.177    
8.840      31.302     33.274     29.447    
8.980      30.560     32.501     28.734    
9.120      29.835     31.746     28.039    
9.260      29.128     31.009     27.361    
9.400      28.437     30.289     26.699    
9.540      27.763     29.585     26.053    
9.680      27.105     28.898     25.423    
9.820      26.462     28.227     24.808    
9.960      25.835     27.571     24.208    
10.100     25.222     26.931     23.622    
10.240     24.625     26.306     23.051    
10.380     24.041     25.695     22.493    
10.520     23.471     25.098     21.949    
10.660     22.914     24.515     21.418    
10.800     22.371     23.946     20.900    
10.940     21.841     23.390     20.394    
11.080     21.323     22.846     19.901    
11.220     20.817     22.316     19.420    
11.360     20.324     21.798     18.950    
11.500     19.842     21.291     18.491    
11.640     19.372     20.797     18.044    
11.780     18.912     20.314     17.608    
11.920     18.464     19.842     17.182    
12.060     18.026     19.381     16.766    
12.200     17.599     18.931     16.360    
12.340     17.182     18.492     15.965    
12.480     16.774     18.062     15.579    
12.620     16.377     17.643     15.202    
12.760     15.988     17.233     14.834    
12.900     15.609     16.833     14.475    
13.040     15.239     16.442     14.125    
13.180     14.878     16.060     13.783    
13.320     14.525     15.687     13.450    
13.460     14.181     15.323     13.124    
13.600     13.845     14.967     12.807    
13.740     13.517     14.619     12.497    
13.880     13.196     14.280     12.195    
14.020     12.883     13.948     11.900    
14.160     12.578     13.624     11.612    
14.300     12.280     13.308     11.331    
14.440     11.989     12.999     11.057    
14.580     11.704     12.697     10.789    
14.720     11.427     12.402     10.528    
14.860     11.156     12.114     10.274    
