
# x      y        dy      , Gy      
-3.142   -3.142   1.000    2.592   
-2.980   -2.904   1.918    2.103   
-2.819   -2.537   2.593    1.664   
-2.658   -2.084   2.972    1.291   
-2.497   -1.596   3.038    0.994   
-2.336   -1.121   2.814    0.776   
-2.175   -0.702   2.356    0.630   
-2.014   -0.370   1.744    0.545   
-1.853   -0.143   1.068    0.505   
-1.692   -0.025   0.419    0.493   
-1.531   -0.002   -0.122   0.492   
-1.369   -0.055   -0.497   0.488   
-1.208   -0.152   -0.676   0.472   
-1.047   -0.262   -0.657   0.438   
-0.886   -0.354   -0.468   0.388   
-0.725   -0.406   -0.159   0.326   
-0.564   -0.403   0.205    0.260   
-0.403   -0.341   0.556    0.200   
-0.242   -0.228   0.830    0.153   
-0.081   -0.080   0.981    0.128   
0.081    0.080    0.981    0.128   
0.242    0.228    0.830    0.153   
0.403    0.341    0.556    0.200   
0.564    0.403    0.205    0.260   
0.725    0.406    -0.159   0.326   
0.886    0.354    -0.468   0.388   
1.047    0.262    -0.657   0.438   
1.208    0.152    -0.676   0.472   
1.369    0.055    -0.497   0.488   
1.531    0.002    -0.122   0.492   
1.692    0.025    0.419    0.493   
1.853    0.143    1.068    0.505   
2.014    0.370    1.744    0.545   
2.175    0.702    2.356    0.630   
2.336    1.121    2.814    0.776   
2.497    1.596    3.038    0.994   
2.658    2.084    2.972    1.291   
2.819    2.537    2.593    1.664   
2.980    2.904    1.918    2.103   
3.142    3.142    1.000    2.592   


Network interpolation
# input  output   diff     int     
-3.142   -3.145   1.135    2.592   
-3.126   -3.126   1.216    2.543   
-3.110   -3.107   1.296    2.495   
-3.095   -3.086   1.376    2.446   
-3.079   -3.064   1.455    2.398   
-3.063   -3.040   1.533    2.351   
-3.048   -3.016   1.609    2.303   
-3.032   -2.990   1.685    2.256   
-3.017   -2.963   1.759    2.210   
-3.001   -2.935   1.832    2.164   
-2.985   -2.906   1.904    2.118   
-2.970   -2.876   1.974    2.073   
-2.954   -2.844   2.042    2.028   
-2.938   -2.812   2.109    1.984   
-2.923   -2.778   2.174    1.940   
-2.907   -2.744   2.237    1.897   
-2.892   -2.709   2.298    1.855   
-2.876   -2.672   2.357    1.813   
-2.860   -2.635   2.414    1.771   
-2.845   -2.597   2.469    1.730   
-2.829   -2.558   2.522    1.690   
-2.813   -2.518   2.573    1.650   
-2.798   -2.477   2.621    1.611   
-2.782   -2.436   2.666    1.573   
-2.767   -2.394   2.709    1.535   
-2.751   -2.351   2.750    1.498   
-2.735   -2.308   2.788    1.462   
-2.720   -2.264   2.824    1.426   
-2.704   -2.220   2.857    1.391   
-2.688   -2.175   2.887    1.357   
-2.673   -2.130   2.915    1.323   
-2.657   -2.084   2.939    1.290   
-2.642   -2.038   2.962    1.258   
-2.626   -1.991   2.981    1.226   
-2.610   -1.945   2.997    1.196   
-2.595   -1.898   3.011    1.166   
-2.579   -1.851   3.022    1.136   
-2.563   -1.803   3.030    1.108   
-2.548   -1.756   3.035    1.080   
-2.532   -1.709   3.037    1.053   
-2.517   -1.661   3.037    1.027   
-2.501   -1.614   3.034    1.001   
-2.485   -1.566   3.028    0.976   
-2.470   -1.519   3.019    0.952   
-2.454   -1.472   3.007    0.929   
-2.438   -1.425   2.993    0.906   
-2.423   -1.378   2.976    0.884   
-2.407   -1.332   2.956    0.863   
-2.392   -1.286   2.934    0.843   
-2.376   -1.240   2.909    0.823   
-2.360   -1.195   2.882    0.804   
-2.345   -1.150   2.852    0.785   
-2.329   -1.106   2.820    0.768   
-2.313   -1.062   2.785    0.751   
-2.298   -1.019   2.749    0.735   
-2.282   -0.976   2.709    0.719   
-2.267   -0.934   2.668    0.704   
-2.251   -0.893   2.625    0.690   
-2.235   -0.852   2.579    0.676   
-2.220   -0.812   2.532    0.663   
-2.204   -0.773   2.483    0.651   
-2.188   -0.735   2.432    0.639   
-2.173   -0.697   2.379    0.628   
-2.157   -0.660   2.325    0.617   
-2.142   -0.625   2.269    0.607   
-2.126   -0.590   2.211    0.598   
-2.110   -0.556   2.153    0.589   
-2.095   -0.522   2.093    0.580   
-2.079   -0.490   2.031    0.572   
-2.063   -0.459   1.969    0.565   
-2.048   -0.429   1.906    0.558   
-2.032   -0.399   1.842    0.552   
-2.017   -0.371   1.776    0.546   
-2.001   -0.344   1.711    0.540   
-1.985   -0.318   1.644    0.535   
-1.970   -0.292   1.577    0.530   
-1.954   -0.268   1.510    0.526   
-1.938   -0.245   1.442    0.522   
-1.923   -0.223   1.375    0.518   
-1.907   -0.202   1.307    0.515   
-1.892   -0.182   1.238    0.512   
-1.876   -0.164   1.170    0.509   
-1.860   -0.146   1.103    0.507   
-1.845   -0.129   1.035    0.504   
-1.829   -0.113   0.968    0.503   
-1.813   -0.099   0.901    0.501   
-1.798   -0.085   0.834    0.499   
-1.782   -0.073   0.768    0.498   
-1.767   -0.061   0.703    0.497   
-1.751   -0.051   0.639    0.496   
-1.735   -0.041   0.575    0.496   
-1.720   -0.033   0.513    0.495   
-1.704   -0.025   0.451    0.495   
-1.688   -0.019   0.390    0.494   
-1.673   -0.013   0.331    0.494   
-1.657   -0.008   0.273    0.494   
-1.642   -0.005   0.216    0.494   
-1.626   -0.002   0.160    0.494   
-1.610   0.000    0.106    0.494   
-1.595   0.002    0.053    0.494   
-1.579   0.002    0.002    0.494   
-1.563   0.002    -0.048   0.494   
-1.548   0.001    -0.096   0.494   
-1.532   -0.001   -0.143   0.494   
-1.517   -0.004   -0.188   0.494   
-1.501   -0.007   -0.231   0.494   
-1.485   -0.011   -0.272   0.493   
-1.470   -0.016   -0.311   0.493   
-1.454   -0.021   -0.349   0.493   
-1.438   -0.027   -0.384   0.493   
-1.423   -0.033   -0.418   0.492   
-1.407   -0.040   -0.450   0.492   
-1.392   -0.047   -0.480   0.491   
-1.376   -0.055   -0.508   0.490   
-1.360   -0.063   -0.534   0.489   
-1.345   -0.071   -0.558   0.488   
-1.329   -0.080   -0.580   0.487   
-1.313   -0.089   -0.600   0.486   
-1.298   -0.099   -0.618   0.484   
-1.282   -0.109   -0.634   0.483   
-1.267   -0.119   -0.648   0.481   
-1.251   -0.129   -0.660   0.479   
-1.235   -0.139   -0.671   0.477   
-1.220   -0.150   -0.679   0.474   
-1.204   -0.161   -0.685   0.472   
-1.188   -0.171   -0.690   0.469   
-1.173   -0.182   -0.692   0.467   
-1.157   -0.193   -0.693   0.464   
-1.142   -0.204   -0.692   0.461   
-1.126   -0.214   -0.689   0.457   
-1.110   -0.225   -0.684   0.454   
-1.095   -0.236   -0.677   0.450   
-1.079   -0.246   -0.669   0.447   
-1.063   -0.257   -0.659   0.443   
-1.048   -0.267   -0.648   0.439   
-1.032   -0.277   -0.635   0.434   
-1.017   -0.287   -0.620   0.430   
-1.001   -0.296   -0.604   0.425   
-0.985   -0.306   -0.587   0.421   
-0.970   -0.315   -0.568   0.416   
-0.954   -0.323   -0.548   0.411   
-0.938   -0.332   -0.526   0.406   
-0.923   -0.340   -0.504   0.400   
-0.907   -0.348   -0.480   0.395   
-0.892   -0.355   -0.455   0.390   
-0.876   -0.362   -0.429   0.384   
-0.860   -0.368   -0.402   0.378   
-0.845   -0.374   -0.374   0.373   
-0.829   -0.380   -0.345   0.367   
-0.813   -0.385   -0.315   0.361   
-0.798   -0.390   -0.284   0.355   
-0.782   -0.394   -0.253   0.348   
-0.767   -0.398   -0.221   0.342   
-0.751   -0.401   -0.189   0.336   
-0.735   -0.404   -0.156   0.330   
-0.720   -0.406   -0.123   0.323   
-0.704   -0.407   -0.089   0.317   
-0.688   -0.408   -0.055   0.311   
-0.673   -0.409   -0.020   0.304   
-0.657   -0.409   0.014    0.298   
-0.642   -0.409   0.049    0.292   
-0.626   -0.408   0.084    0.285   
-0.610   -0.406   0.119    0.279   
-0.595   -0.404   0.154    0.272   
-0.579   -0.401   0.188    0.266   
-0.563   -0.398   0.223    0.260   
-0.548   -0.394   0.258    0.254   
-0.532   -0.390   0.292    0.248   
-0.517   -0.385   0.326    0.242   
-0.501   -0.380   0.359    0.236   
-0.485   -0.374   0.392    0.230   
-0.470   -0.368   0.425    0.224   
-0.454   -0.361   0.457    0.218   
-0.438   -0.353   0.488    0.213   
-0.423   -0.345   0.519    0.207   
-0.407   -0.337   0.549    0.202   
-0.392   -0.328   0.579    0.197   
-0.376   -0.319   0.607    0.192   
-0.360   -0.309   0.635    0.187   
-0.345   -0.299   0.662    0.182   
-0.329   -0.289   0.688    0.177   
-0.313   -0.278   0.713    0.173   
-0.298   -0.266   0.738    0.169   
-0.282   -0.255   0.761    0.165   
-0.267   -0.242   0.783    0.161   
-0.251   -0.230   0.804    0.157   
-0.235   -0.217   0.824    0.154   
-0.220   -0.204   0.843    0.150   
-0.204   -0.191   0.860    0.147   
-0.188   -0.177   0.877    0.144   
-0.173   -0.164   0.892    0.142   
-0.157   -0.150   0.906    0.139   
-0.142   -0.135   0.919    0.137   
-0.126   -0.121   0.930    0.135   
-0.110   -0.106   0.940    0.133   
-0.095   -0.092   0.949    0.132   
-0.079   -0.077   0.957    0.130   
-0.063   -0.062   0.963    0.129   
-0.048   -0.047   0.968    0.128   
-0.032   -0.031   0.971    0.128   
-0.017   -0.016   0.973    0.127   
-0.001   -0.001   0.974    0.127   
0.015    0.014    0.974    0.127   
0.030    0.029    0.972    0.128   
0.046    0.045    0.968    0.128   
0.062    0.060    0.964    0.129   
0.077    0.075    0.958    0.130   
0.093    0.090    0.950    0.131   
0.108    0.104    0.942    0.133   
0.124    0.119    0.932    0.135   
0.140    0.133    0.921    0.137   
0.155    0.148    0.908    0.139   
0.171    0.162    0.894    0.141   
0.187    0.176    0.879    0.144   
