# xs[-1]: 6.283, b: 6.283; y[0]: 0.000, sin(b): 0.000; y[1]: 1.000, cos(b): 1.000
# u'(b) = sin(b) and u''(b) = cos(b), test passed
# x      u'       sin(x)   u''      cos(x)  
0.100    0.100    0.100    0.995    0.995   
0.208    0.206    0.206    0.978    0.978   
0.322    0.316    0.316    0.949    0.949   
0.441    0.427    0.427    0.904    0.904   
0.566    0.536    0.536    0.844    0.844   
0.697    0.642    0.642    0.767    0.767   
0.835    0.741    0.741    0.671    0.671   
0.981    0.831    0.831    0.556    0.556   
1.132    0.905    0.905    0.425    0.425   
1.269    0.955    0.955    0.297    0.297   
1.404    0.986    0.986    0.167    0.167   
1.525    0.999    0.999    0.046    0.046   
1.644    0.997    0.997    -0.073   -0.073  
1.762    0.982    0.982    -0.190   -0.190  
1.884    0.951    0.951    -0.308   -0.308  
2.011    0.905    0.905    -0.426   -0.426  
2.143    0.841    0.841    -0.542   -0.542  
2.283    0.757    0.757    -0.653   -0.653  
2.430    0.653    0.653    -0.757   -0.757  
2.587    0.527    0.527    -0.850   -0.850  
2.747    0.384    0.384    -0.923   -0.923  
2.892    0.247    0.247    -0.969   -0.969  
3.033    0.109    0.108    -0.994   -0.994  
3.167    -0.026   -0.026   -1.000   -1.000  
3.297    -0.154   -0.154   -0.988   -0.988  
3.428    -0.282   -0.282   -0.959   -0.959  
3.564    -0.410   -0.410   -0.912   -0.912  
3.707    -0.536   -0.536   -0.844   -0.844  
3.859    -0.657   -0.657   -0.754   -0.754  
4.019    -0.769   -0.769   -0.639   -0.639  
4.192    -0.868   -0.868   -0.497   -0.497  
4.369    -0.942   -0.942   -0.337   -0.337  
4.527    -0.983   -0.983   -0.184   -0.184  
4.682    -1.000   -1.000   -0.030   -0.030  
4.830    -0.993   -0.993   0.118    0.118   
4.979    -0.965   -0.965   0.264    0.264   
5.135    -0.912   -0.912   0.410    0.410   
5.301    -0.832   -0.832   0.555    0.555   
5.479    -0.720   -0.720   0.694    0.694   
5.673    -0.573   -0.573   0.820    0.820   
5.889    -0.384   -0.384   0.923    0.923   
6.107    -0.175   -0.175   0.985    0.985   
6.283    0.000    0.000    1.000    1.000   
