

# t          S            I            R           
0.057        5999988.383  409.958      1.660       
0.112        5999977.055  419.667      3.278       
0.172        5999964.300  430.600      5.100       
0.240        5999949.540  443.252      7.209       
0.315        5999932.503  457.855      9.643       
0.399        5999913.009  474.564      12.427      
0.490        5999890.902  493.512      15.586      
0.589        5999866.018  514.841      19.140      
0.695        5999838.178  538.704      23.118      
0.807        5999807.180  565.274      27.546      
0.926        5999772.795  594.746      32.458      
1.050        5999734.769  627.340      37.891      
1.180        5999692.817  663.298      43.884      
1.315        5999646.624  702.892      50.484      
1.456        5999595.839  746.422      57.739      
1.600        5999540.076  794.218      65.706      
1.750        5999478.910  846.646      74.445      
1.903        5999411.871  904.107      84.023      
2.060        5999338.445  967.042      94.513      
2.221        5999258.066  1035.937     105.997     
2.384        5999170.113  1111.323     118.563     
2.551        5999073.908  1193.783     132.309     
2.721        5998968.703  1283.957     147.341     
2.894        5998853.682  1382.543     163.775     
3.069        5998727.950  1490.309     181.741     
3.247        5998590.528  1608.095     201.377     
3.427        5998440.343  1736.820     222.837     
3.608        5998276.220  1877.491     246.290     
3.792        5998096.874  2031.208     271.918     
3.977        5997900.898  2199.178     299.924     
4.165        5997686.751  2382.721     330.528     
4.353        5997452.748  2583.282     363.970     
4.543        5997197.043  2802.441     400.516     
4.735        5996917.616  3041.931     440.454     
4.927        5996612.255  3303.645     484.100     
5.121        5996278.540  3589.658     531.802     
5.316        5995913.821  3902.240     583.939     
5.512        5995515.196  4243.878     640.926     
5.709        5995079.487  4617.294     703.219     
5.907        5994603.217  5025.467     771.316     
6.106        5994082.574  5471.662     845.764     
6.305        5993513.388  5959.452     927.160     
6.506        5992891.088  6492.751     1016.161    
6.707        5992210.667  7075.848     1113.485    
6.908        5991466.642  7713.439     1219.919    
7.110        5990653.005  8410.668     1336.326    
7.313        5989763.173  9173.174     1463.653    
7.517        5988789.930  10007.134    1602.936    
7.721        5987725.370  10919.315    1755.315    
7.925        5986560.826  11917.138    1922.035    
8.130        5985286.798  13008.735    2104.467    
8.336        5983892.869  14203.019    2304.113    
8.542        5982367.616  15509.763    2522.620    
8.749        5980698.514  16939.686    2761.800    
8.956        5978871.824  18504.538    3023.638    
9.163        5976872.474  20217.209    3310.316    
9.371        5974683.927  22091.839    3624.233    
9.579        5972288.038  24143.940    3968.022    
9.788        5969664.888  26390.532    4344.579    
9.997        5966792.616  28850.295    4757.088    
10.207       5963647.217  31543.732    5209.051    
10.417       5960202.328  34493.351    5704.321    
10.628       5956428.994  37723.866    6247.140    
10.839       5952295.401  41262.420    6842.179    
11.050       5947766.589  45138.826    7494.586    
11.262       5942804.128  49385.839    8210.033    
11.475       5937365.764  54039.457    8994.779    
11.688       5931405.025  59139.247    9855.728    
11.902       5924870.781  64728.712    10800.507   
12.116       5917706.760  70855.696    11837.543   
12.331       5909851.010  77572.835    12976.156   
12.547       5901235.292  84938.049    14226.659   
12.763       5891784.417  93015.103    15600.481   
12.980       5881415.493  101874.216   17110.291   
13.198       5870037.095  111592.748   18770.157   
13.417       5857548.324  122255.966   20595.710   
13.636       5843837.758  133957.895   22604.347   
13.857       5828782.275  146802.271   24815.454   
14.079       5812245.717  160903.614   27250.669   
14.302       5794077.387  176388.429   29934.184   
14.526       5774110.344  193396.560   32893.096   
14.751       5752159.456  212082.719   36157.824   
14.978       5728019.185  232618.222   39762.593   
15.207       5701461.037  255192.957   43746.006   
15.438       5672230.623  280017.643   48151.734   
15.671       5640044.252  307326.411   53029.337   
15.906       5604584.946  337379.795   58435.260   
16.143       5565497.753  370468.205   64434.042   
16.383       5522384.188  406915.993   71099.819   
16.627       5474795.557  447086.265   78518.178   
16.874       5422224.871  491386.627   86788.502   
17.124       5364096.909  540276.136   96026.954   
17.380       5299755.812  594273.844   106370.344  
17.640       5228449.329  653969.461   117981.210  
17.907       5149308.388  720036.977   131054.635  
18.181       5061319.942  793252.472   145827.586  
18.462       4963289.852  874518.121   162592.028  
18.753       4853790.352  964895.716   181713.933  
19.056       4731082.640  1065655.547  203661.813  
19.373       4593061.290  1178299.188  229039.522  
19.705       4437908.047  1303997.865  258494.088  
20.056       4263361.881  1444151.087  292887.032  
20.428       4066837.817  1600224.608  333337.575  
20.826       3845609.826  1773509.526  381280.647  
21.255       3597234.600  1964656.033  438509.367  
21.719       3320511.354  2172767.893  507120.752  
22.222       3017366.393  2393854.790  589178.817  
22.762       2695588.759  2618974.354  685836.887  
23.327       2370308.002  2834029.309  796062.689  
23.896       2062792.218  3022436.918  915170.864  
24.421       1801452.324  3167661.782  1031285.894 
24.903       1582667.763  3275462.180  1142270.057 
25.349       1399089.168  3353363.075  1247947.758 
25.787       1236559.301  3410045.324  1353795.375 
26.207       1096781.263  3447006.329  1456612.408 
26.609       976805.741   3467684.058  1555910.201 
26.997       873125.959   3475185.443  1652088.598 
27.374       782782.371   3471907.385  1745710.245 
27.744       703468.835   3459651.263  1837279.902 
28.109       633406.615   3439789.670  1927203.715 
28.471       571206.282   3413393.764  2015799.954 
28.831       515761.878   3381319.313  2103318.809 
29.192       466176.462   3344263.833  2189959.705 
29.554       421710.457   3302805.233  2275884.311 
29.918       381745.398   3257428.726  2361225.876 
30.286       345757.945   3208546.155  2446095.901 
30.657       313300.820   3156510.233  2530588.947 
31.034       283988.520   3101625.317  2614786.163 
31.416       257486.390   3044155.705  2698757.904 
31.806       233502.119   2984332.153  2782565.728 
32.202       211779.015   2922357.069  2866263.916 
32.608       192090.618   2858408.725  2949900.657 
33.022       174236.332   2792644.692  3033518.976 
33.446       158037.834   2725204.709  3117157.458 
33.882       143336.110   2656213.079  3200850.812 
34.329       129988.971   2585780.711  3284630.317 
34.790       117868.966   2514006.883  3368524.151 
35.265       106861.604   2440980.769  3452557.628 
35.755       96863.842    2366782.802  3536753.356 
36.262       87782.787    2291485.900  3621131.313 
36.788       79534.566    2215156.591  3705708.843 
37.333       72043.357    2137856.072  3790500.571 
37.900       65240.531    2059641.233  3875518.235 
38.491       59063.912    1980565.671  3960770.417 
39.108       53457.120    1900680.724  4046262.156 
39.753       48368.990    1820036.566  4131994.444 
40.430       43753.066    1738683.384  4217963.551 
41.141       39567.142    1656672.690  4304160.168 
41.890       35772.862    1574058.805  4390568.332 
42.681       32335.356    1490900.571  4477164.073 
43.520       29222.921    1407263.332  4563913.747 
44.410       26406.726    1323221.261  4650772.013 
45.361       23860.559    1238860.050  4737679.391 
46.378       21560.583    1154279.994  4824559.422 
47.470       19485.126    1069599.400  4911315.474 
48.650       17614.471    984958.114   4997827.415 
49.930       15930.665    900520.641   5083948.694 
51.326       14417.316    816477.673   5169505.011 
52.860       13059.366    733043.467   5254297.167 
54.558       11842.786    650443.163   5338114.051 
56.459       10754.084    568875.138   5420770.778 
58.620       9779.250     488402.513   5502218.238 
60.000       9269.704     443045.247   5548085.049 
