# phi      u         
-30.000    1.000     
-29.927    0.964     
-29.856    0.928     
-29.787    0.894     
-29.717    0.860     
-29.647    0.827     
-29.577    0.795     
-29.506    0.763     
-29.435    0.732     
-29.362    0.702     
-29.289    0.674     
-29.214    0.646     
-29.137    0.620     
-29.059    0.596     
-28.981    0.574     
-28.904    0.555     
-28.829    0.540     
-28.756    0.526     
-28.683    0.516     
-28.612    0.508     
-28.541    0.503     
-28.470    0.500     
-28.400    0.500     
-28.331    0.502     
-28.261    0.507     
-28.191    0.514     
-28.121    0.524     
-28.051    0.535     
-27.980    0.550     
-27.909    0.566     
-27.837    0.585     
-27.763    0.607     
-27.689    0.631     
-27.613    0.657     
-27.535    0.687     
-27.457    0.718     
-27.379    0.751     
-27.303    0.785     
-27.228    0.819     
-27.154    0.854     
-27.082    0.889     
-27.010    0.924     
-26.939    0.960     
-26.869    0.995     
-26.798    1.030     
-26.728    1.065     
-26.656    1.100     
-26.584    1.136     
-26.510    1.171     
-26.435    1.205     
-26.359    1.239     
-26.281    1.273     
-26.201    1.306     
-26.118    1.337     
-26.034    1.367     
-25.951    1.394     
-25.870    1.417     
-25.792    1.438     
-25.715    1.455     
-25.640    1.469     
-25.566    1.481     
-25.494    1.489     
-25.422    1.495     
-25.350    1.499     
-25.279    1.500     
-25.209    1.498     
-25.138    1.494     
-25.068    1.488     
-24.997    1.479     
-24.926    1.468     
-24.855    1.454     
-24.783    1.438     
-24.710    1.419     
-24.636    1.398     
-24.561    1.374     
-24.485    1.347     
-24.407    1.318     
-24.326    1.286     
-24.243    1.251     
-24.160    1.214     
-24.078    1.177     
-23.998    1.139     
-23.921    1.101     
-23.845    1.064     
-23.771    1.027     
-23.698    0.991     
-23.627    0.955     
-23.555    0.920     
-23.484    0.885     
-23.413    0.851     
-23.342    0.817     
-23.270    0.784     
-23.197    0.752     
-23.124    0.721     
-23.050    0.691     
-22.974    0.662     
-22.897    0.634     
-22.818    0.609     
-22.738    0.585     
-22.659    0.564     
-22.581    0.547     
-22.505    0.532     
-22.430    0.520     
-22.357    0.511     
-22.284    0.505     
-22.212    0.501     
-22.140    0.500     
-22.069    0.502     
-21.997    0.506     
-21.926    0.512     
-21.855    0.521     
-21.783    0.533     
-21.711    0.547     
-21.638    0.563     
-21.564    0.582     
-21.489    0.604     
-21.413    0.628     
-21.336    0.655     
-21.256    0.685     
-21.176    0.717     
-21.096    0.751     
-21.018    0.786     
-20.942    0.821     
-20.866    0.857     
-20.792    0.892     
-20.719    0.928     
-20.646    0.965     
-20.574    1.001     
-20.502    1.037     
-20.430    1.073     
-20.356    1.109     
-20.282    1.144     
-20.206    1.180     
-20.129    1.216     
-20.050    1.250     
-19.970    1.284     
-19.887    1.318     
-19.802    1.349     
-19.716    1.379     
-19.632    1.405     
-19.550    1.427     
-19.471    1.447     
-19.393    1.463     
-19.317    1.476     
-19.242    1.486     
-19.168    1.493     
-19.095    1.498     
-19.022    1.500     
-18.949    1.499     
-18.877    1.496     
-18.805    1.490     
-18.733    1.482     
-18.660    1.471     
-18.587    1.457     
-18.513    1.441     
-18.439    1.422     
-18.364    1.401     
-18.287    1.377     
-18.209    1.350     
-18.129    1.320     
-18.047    1.288     
-17.962    1.252     
-17.877    1.214     
-17.793    1.176     
-17.711    1.137     
-17.631    1.098     
-17.554    1.060     
-17.478    1.022     
-17.404    0.985     
-17.330    0.948     
-17.257    0.912     
-17.185    0.877     
-17.112    0.842     
-17.038    0.807     
-16.964    0.774     
-16.890    0.741     
-16.814    0.710     
-16.737    0.679     
-16.659    0.650     
-16.579    0.623     
-16.497    0.597     
-16.416    0.575     
-16.335    0.555     
-16.257    0.538     
-16.179    0.525     
-16.103    0.515     
-16.028    0.507     
-15.954    0.502     
-15.880    0.500     
-15.807    0.501     
-15.734    0.504     
-15.661    0.510     
-15.587    0.519     
-15.514    0.530     
-15.440    0.544     
-15.365    0.561     
-15.290    0.580     
-15.213    0.602     
-15.135    0.627     
-15.056    0.654     
-14.975    0.685     
-14.892    0.718     
-14.810    0.752     
-14.730    0.788     
-14.652    0.824     
-14.574    0.861     
-14.498    0.898     
-14.423    0.935     
-14.348    0.972     
-14.274    1.009     
-14.200    1.046     
-14.126    1.083     
-14.050    1.120     
-13.974    1.157     
-13.895    1.193     
-13.816    1.229     
-13.734    1.265     
-13.650    1.299     
-13.564    1.332     
-13.476    1.364     
-13.388    1.393     
-13.303    1.418     
-13.220    1.439     
-13.139    1.457     
-13.060    1.471     
-12.983    1.483     
-12.906    1.491     
-12.831    1.497     
-12.756    1.500     
-12.681    1.499     
-12.607    1.497     
-12.533    1.491     
-12.459    1.483     
-12.384    1.472     
-12.309    1.458     
-12.233    1.442     
-12.157    1.422     
-12.080    1.400     
-12.001    1.376     
-11.921    1.348     
-11.838    1.317     
-11.754    1.284     
-11.666    1.247     
-11.579    1.208     
-11.493    1.168     
-11.409    1.128     
-11.327    1.088     
-11.248    1.049     
-11.170    1.010     
-11.094    0.972     
-11.019    0.935     
-10.944    0.898     
-10.869    0.861     
-10.794    0.826     
-10.718    0.791     
-10.642    0.757     
-10.565    0.724     
-10.486    0.692     
-10.407    0.662     
-10.325    0.633     
-10.242    0.606     
-10.158    0.581     
-10.074    0.560     
-9.993     0.542     
-9.913     0.528     
-9.834     0.516     
-9.757     0.508     
-9.680     0.503     
-9.604     0.500     
-9.528     0.501     
-9.453     0.504     
-9.378     0.510     
-9.302     0.519     
-9.226     0.531     
-9.150     0.546     
-9.073     0.563     
-8.995     0.583     
-8.916     0.606     
-8.836     0.632     
-8.754     0.661     
-8.670     0.693     
-8.585     0.728     
-8.501     0.764     
-8.419     0.801     
-8.338     0.838     
-8.259     0.876     
-8.181     0.914     
-8.104     0.953     
-8.027     0.991     
-7.951     1.029     
