# phi      u         
-30.000    1.000     
-29.927    0.963     
-29.855    0.928     
-29.785    0.894     
-29.715    0.860     
-29.644    0.826     
-29.574    0.794     
-29.502    0.762     
-29.430    0.731     
-29.357    0.702     
-29.282    0.673     
-29.207    0.646     
-29.129    0.620     
-29.050    0.596     
-28.972    0.575     
-28.895    0.557     
-28.820    0.542     
-28.746    0.529     
-28.674    0.520     
-28.602    0.513     
-28.531    0.508     
-28.460    0.506     
-28.389    0.506     
-28.319    0.509     
-28.249    0.515     
-28.179    0.522     
-28.108    0.532     
-28.037    0.545     
-27.966    0.560     
-27.894    0.577     
-27.821    0.597     
-27.747    0.620     
-27.671    0.644     
-27.594    0.672     
-27.516    0.702     
-27.437    0.735     
-27.359    0.768     
-27.282    0.802     
-27.207    0.837     
-27.134    0.872     
-27.061    0.907     
-26.989    0.943     
-26.918    0.978     
-26.847    1.014     
-26.776    1.049     
-26.704    1.085     
-26.632    1.120     
-26.558    1.156     
-26.483    1.191     
-26.407    1.226     
-26.329    1.261     
-26.249    1.295     
-26.167    1.328     
-26.083    1.359     
-25.998    1.389     
-25.914    1.415     
-25.833    1.438     
-25.754    1.458     
-25.676    1.475     
-25.600    1.489     
-25.525    1.499     
-25.452    1.508     
-25.379    1.513     
-25.306    1.516     
-25.234    1.516     
-25.162    1.514     
-25.091    1.509     
-25.019    1.502     
-24.947    1.492     
-24.875    1.479     
-24.802    1.465     
-24.728    1.447     
-24.654    1.427     
-24.579    1.405     
-24.502    1.380     
-24.424    1.352     
-24.344    1.322     
-24.261    1.288     
-24.176    1.252     
-24.092    1.214     
-24.009    1.175     
-23.929    1.137     
-23.851    1.099     
-23.775    1.061     
-23.700    1.024     
-23.627    0.987     
-23.555    0.951     
-23.483    0.916     
-23.412    0.881     
-23.340    0.847     
-23.268    0.813     
-23.195    0.780     
-23.122    0.748     
-23.048    0.717     
-22.972    0.687     
-22.896    0.659     
-22.817    0.632     
-22.737    0.607     
-22.657    0.584     
-22.578    0.564     
-22.500    0.547     
-22.424    0.533     
-22.349    0.523     
-22.275    0.514     
-22.202    0.509     
-22.130    0.506     
-22.058    0.506     
-21.986    0.509     
-21.914    0.514     
-21.842    0.521     
-21.770    0.531     
-21.697    0.544     
-21.624    0.559     
-21.551    0.576     
-21.476    0.596     
-21.400    0.619     
-21.323    0.645     
-21.245    0.673     
-21.164    0.704     
-21.083    0.737     
-21.003    0.771     
-20.925    0.806     
-20.849    0.842     
-20.773    0.878     
-20.699    0.914     
-20.625    0.951     
-20.552    0.987     
-20.480    1.023     
-20.407    1.060     
-20.333    1.096     
-20.259    1.132     
-20.183    1.169     
-20.106    1.205     
-20.027    1.241     
-19.947    1.276     
-19.864    1.310     
-19.779    1.343     
-19.692    1.375     
-19.605    1.403     
-19.521    1.429     
-19.438    1.450     
-19.358    1.469     
-19.280    1.484     
-19.203    1.496     
-19.127    1.505     
-19.052    1.512     
-18.977    1.515     
-18.903    1.516     
-18.830    1.514     
-18.756    1.510     
-18.683    1.503     
-18.609    1.493     
-18.535    1.481     
-18.460    1.466     
-18.385    1.448     
-18.309    1.428     
-18.232    1.405     
-18.153    1.380     
-18.073    1.351     
-17.991    1.320     
-17.907    1.285     
-17.819    1.248     
-17.733    1.209     
-17.649    1.169     
-17.567    1.130     
-17.487    1.091     
-17.409    1.052     
-17.333    1.014     
-17.259    0.977     
-17.185    0.940     
-17.111    0.904     
-17.038    0.869     
-16.964    0.834     
-16.890    0.799     
-16.815    0.766     
-16.740    0.734     
-16.663    0.702     
-16.585    0.673     
-16.506    0.644     
-16.424    0.617     
-16.342    0.593     
-16.260    0.571     
-16.180    0.553     
-16.101    0.538     
-16.024    0.526     
-15.948    0.516     
-15.872    0.510     
-15.798    0.507     
-15.724    0.506     
-15.650    0.508     
-15.576    0.513     
-15.503    0.520     
-15.429    0.530     
-15.354    0.543     
-15.279    0.558     
-15.204    0.576     
-15.127    0.597     
-15.050    0.620     
-14.970    0.647     
-14.889    0.676     
-14.806    0.708     
-14.723    0.742     
-14.642    0.777     
-14.562    0.814     
-14.484    0.850     
-14.406    0.887     
-14.330    0.925     
-14.255    0.962     
-14.180    0.999     
-14.105    1.037     
-14.030    1.074     
-13.954    1.111     
-13.877    1.149     
-13.799    1.186     
-13.719    1.223     
-13.637    1.259     
-13.553    1.295     
-13.467    1.329     
-13.379    1.362     
-13.289    1.393     
-13.201    1.420     
-13.116    1.444     
-13.033    1.464     
-12.952    1.480     
-12.872    1.493     
-12.794    1.504     
-12.717    1.511     
-12.640    1.515     
-12.564    1.516     
-12.488    1.515     
-12.413    1.510     
-12.337    1.503     
-12.261    1.493     
-12.185    1.480     
-12.108    1.465     
-12.031    1.447     
-11.953    1.426     
-11.873    1.402     
-11.792    1.375     
-11.709    1.345     
-11.625    1.312     
-11.537    1.276     
-11.448    1.237     
-11.359    1.197     
-11.274    1.156     
-11.190    1.116     
-11.109    1.076     
-11.029    1.036     
-10.951    0.997     
-10.875    0.959     
-10.800    0.922     
-10.724    0.885     
-10.648    0.849     
-10.572    0.813     
-10.495    0.778     
-10.418    0.745     
-10.340    0.712     
-10.260    0.681     
-10.179    0.651     
-10.096    0.623     
-10.010    0.597     
-9.926     0.575     
-9.843     0.555     
-9.761     0.539     
-9.681     0.526     
-9.603     0.517     
-9.525     0.510     
-9.448     0.507     
-9.372     0.506     
-9.296     0.508     
-9.220     0.514     
-9.144     0.521     
-9.068     0.532     
-8.991     0.546     
-8.914     0.562     
-8.836     0.581     
-8.757     0.603     
-8.676     0.629     
-8.594     0.657     
-8.510     0.688     
-8.424     0.722     
-8.339     0.758     
-8.256     0.795     
-8.174     0.832     
-8.094     0.870     
-8.015     0.909     
