# Hydrogen atom
# rmax is 8, energy is -0.499975126590243
# r      Feps(r)  exact   
0.000    0.001    0.000   
0.080    0.074    0.074   
0.160    0.136    0.136   
0.240    0.189    0.189   
0.320    0.232    0.232   
0.400    0.268    0.268   
0.480    0.297    0.297   
0.560    0.320    0.320   
0.640    0.337    0.337   
0.720    0.350    0.350   
0.800    0.359    0.359   
0.880    0.365    0.365   
0.960    0.368    0.368   
1.040    0.368    0.368   
1.120    0.365    0.365   
1.200    0.361    0.361   
1.280    0.356    0.356   
1.360    0.349    0.349   
1.440    0.341    0.341   
1.520    0.332    0.332   
1.600    0.323    0.323   
1.680    0.313    0.313   
1.760    0.303    0.303   
1.840    0.292    0.292   
1.920    0.281    0.281   
2.000    0.271    0.271   
2.080    0.260    0.260   
2.160    0.249    0.249   
2.240    0.238    0.238   
2.320    0.228    0.228   
2.400    0.218    0.218   
2.480    0.208    0.208   
2.560    0.198    0.198   
2.640    0.188    0.188   
2.720    0.179    0.179   
2.800    0.170    0.170   
2.880    0.162    0.162   
2.960    0.153    0.153   
3.040    0.145    0.145   
3.120    0.138    0.138   
3.200    0.130    0.130   
3.280    0.123    0.123   
3.360    0.117    0.117   
3.440    0.110    0.110   
3.520    0.104    0.104   
3.600    0.098    0.098   
3.680    0.093    0.093   
3.760    0.087    0.088   
3.840    0.082    0.083   
3.920    0.078    0.078   
4.000    0.073    0.073   
4.080    0.069    0.069   
4.160    0.065    0.065   
4.240    0.061    0.061   
4.320    0.057    0.057   
4.400    0.054    0.054   
4.480    0.051    0.051   
4.560    0.048    0.048   
4.640    0.045    0.045   
4.720    0.042    0.042   
4.800    0.039    0.040   
4.880    0.037    0.037   
4.960    0.035    0.035   
5.040    0.032    0.033   
5.120    0.030    0.031   
5.200    0.028    0.029   
5.280    0.027    0.027   
5.360    0.025    0.025   
5.440    0.023    0.024   
5.520    0.022    0.022   
5.600    0.020    0.021   
5.680    0.019    0.019   
5.760    0.018    0.018   
5.840    0.017    0.017   
5.920    0.015    0.016   
6.000    0.014    0.015   
6.080    0.013    0.014   
6.160    0.012    0.013   
6.240    0.012    0.012   
6.320    0.011    0.011   
6.400    0.010    0.011   
6.480    0.009    0.010   
6.560    0.008    0.009   
6.640    0.008    0.009   
6.720    0.007    0.008   
6.800    0.007    0.008   
6.880    0.006    0.007   
6.960    0.005    0.007   
7.040    0.005    0.006   
7.120    0.004    0.006   
7.200    0.004    0.005   
7.280    0.004    0.005   
7.360    0.003    0.005   
7.440    0.003    0.004   
7.520    0.002    0.004   
7.600    0.002    0.004   
7.680    0.002    0.004   
7.760    0.001    0.003   
7.840    0.001    0.003   
7.920    0.000    0.003   
